,Store Number,Year,Month,Full Packs Sold,Single Bottles Sold,Sale (Dollars),SMALL,LARGE,CHEAP,MIDPRICE,EXPENSIVE,BRANDY,GIN,OTHER,RUM,SCHNAPPS,SPIRITS,TEQUILA,VODKA,WHISKY
8743,5406,2020,5,24,27,2828.63,17.0,5.0,7.0,12.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,8.0
8744,5406,2020,6,20,36,2385.3,19.0,1.0,11.0,8.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,6.0,4.0
8745,5406,2020,7,23,15,2069.39,14.0,3.0,7.0,9.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,7.0
8746,5406,2020,8,21,6,2550.14,15.0,3.0,7.0,11.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,3.0
8747,5406,2020,9,9,12,1258.32,9.0,0.0,3.0,5.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0
8748,5406,2020,10,29,62,3811.03,28.0,3.0,14.0,15.0,2.0,2.0,0.0,5.0,4.0,1.0,0.0,0.0,12.0,7.0
8749,5406,2020,11,17,51,2706.64,28.0,0.0,13.0,15.0,0.0,1.0,1.0,3.0,6.0,0.0,1.0,2.0,9.0,5.0
8750,5406,2020,12,14,39,2660.49,18.0,3.0,7.0,13.0,1.0,1.0,0.0,6.0,1.0,2.0,0.0,1.0,4.0,6.0
8751,5407,2017,6,12,260,4557.05,60.0,5.0,26.0,36.0,3.0,2.0,2.0,8.0,14.0,3.0,0.0,4.0,12.0,20.0
8752,5407,2017,7,20,21,2580.96,15.0,5.0,7.0,10.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,6.0
8753,5407,2017,8,9,24,1110.6,9.0,1.0,7.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,1.0
8754,5407,2017,9,23,33,2931.06,18.0,4.0,9.0,12.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,10.0,5.0
8755,5407,2017,10,9,18,866.4,6.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
8756,5407,2017,11,21,54,2809.3199999999997,16.0,5.0,11.0,9.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,6.0,8.0
8757,5407,2017,12,15,18,1593.12,9.0,3.0,6.0,5.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,2.0
8758,5407,2018,1,12,0,1046.16,5.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0
8759,5407,2018,2,10,71,1645.68,15.0,1.0,9.0,6.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,7.0,4.0
8760,5407,2018,3,25,0,2173.08,9.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,6.0
8761,5407,2018,4,10,30,1261.8,9.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0
8762,5407,2018,5,15,24,1677.1200000000001,13.0,2.0,8.0,7.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,6.0
8763,5407,2018,6,13,0,1031.52,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0
8764,5407,2018,7,16,11,1470.66,12.0,2.0,9.0,5.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,6.0,3.0
8765,5407,2018,8,14,0,1074.18,6.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0
8766,5407,2018,9,14,0,1091.22,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
8767,5407,2018,10,35,69,4782.36,34.0,4.0,18.0,19.0,1.0,1.0,0.0,4.0,4.0,2.0,0.0,4.0,9.0,14.0
